rsscell1	rsscell2	rsscell3	rsscell4	rsscell5	rsscell6	rsscell7	rsscell8
1525598382460	RSSCELL	LTE	58.59079	16.17489	25729813	49	-97
1525598382460	RSSCELL	LTE	58.59079	16.17489	-1	50	-106
1525598382460	RSSCELL	LTE	58.59079	16.17489	-1	293	-108
1525598382460	RSSCELL	LTE	58.59079	16.17489	-1	383	-113
1525598382727	RSSCELL	LTE	58.59079	16.17489	25729813	49	-97
1525598382727	RSSCELL	LTE	58.59079	16.17489	-1	50	-106
1525598382727	RSSCELL	LTE	58.59079	16.17489	-1	293	-108
1525598382727	RSSCELL	LTE	58.59079	16.17489	-1	383	-113
1525598384084	RSSCELL	LTE	58.59079	16.17489	25729813	49	-97
1525598384084	RSSCELL	LTE	58.59079	16.17489	-1	50	-106
1525598384084	RSSCELL	LTE	58.59079	16.17489	-1	293	-108
1525598384084	RSSCELL	LTE	58.59079	16.17489	-1	383	-113
1525598393970	RSSCELL	LTE	58.59079	16.17489	25729813	49	-91
1525598394138	RSSCELL	LTE	58.59079	16.17489	25729813	49	-91
1525598409856	RSSCELL	LTE	58.59079	16.17489	-1	49	-79
1525598409856	RSSCELL	LTE	58.59079	16.17489	25730079	293	-85
1525598409856	RSSCELL	LTE	58.59079	16.17489	-1	383	-94
1525598429042	RSSCELL	LTE	58.59079	16.17489	25730079	293	-88
1525598461332	RSSCELL	LTE	58.59079	16.17489	-1	49	-84
1525598461332	RSSCELL	LTE	58.59079	16.17489	25730079	293	-89
1525598461332	RSSCELL	LTE	58.59079	16.17489	-1	339	-96
1525598461332	RSSCELL	LTE	58.59079	16.17489	-1	340	-97
1525598461332	RSSCELL	LTE	58.59079	16.17489	-1	352	-93
1525598461332	RSSCELL	LTE	58.59079	16.17489	-1	383	-87
1525598465363	RSSCELL	LTE	58.59079	16.17489	-1	49	-83
1525598465363	RSSCELL	LTE	58.59079	16.17489	-1	292	-101
1525598465363	RSSCELL	LTE	58.59079	16.17489	-1	293	-89
1525598465363	RSSCELL	LTE	58.59079	16.17489	-1	339	-94
1525598465363	RSSCELL	LTE	58.59079	16.17489	25729301	352	-81
1525598465363	RSSCELL	LTE	58.59079	16.17489	-1	383	-91
1525598465400	RSSCELL	LTE	58.59079	16.17489	-1	49	-83
1525598465400	RSSCELL	LTE	58.59079	16.17489	-1	292	-101
1525598465400	RSSCELL	LTE	58.59079	16.17489	-1	293	-89
1525598465400	RSSCELL	LTE	58.59079	16.17489	-1	339	-94
1525598465400	RSSCELL	LTE	58.59079	16.17489	25729301	352	-81
1525598465400	RSSCELL	LTE	58.59079	16.17489	-1	383	-91
1525598468650	RSSCELL	LTE	58.59079	16.17489	-1	48	-93
1525598468650	RSSCELL	LTE	58.59079	16.17489	25729813	49	-84
1525598468650	RSSCELL	LTE	58.59079	16.17489	-1	293	-90
